Product name,Detail page link,Image URL,Model No,SKU,Price
Google - Pixel 7 128GB (Unlocked) - Obsidian,https://www.bestbuy.com/site/google-pixel-7-128gb-unlocked-obsidian/6519950.p?skuId=6519950,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6519/6519950_sd.jpg;maxHeight=200;maxWidth=300,GA03923-US,6519950,599.00
Google - Pixel 7 Pro 128GB (Unlocked) - Obsidian,https://www.bestbuy.com/site/google-pixel-7-pro-128gb-unlocked-obsidian/6519915.p?skuId=6519915,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6519/6519915_sd.jpg;maxHeight=200;maxWidth=300,GA03453-US,6519915,899.00
BLU - V50 32GB (Unlocked) - Black,https://www.bestbuy.com/site/blu-v50-32gb-unlocked-black/6428098.p?skuId=6428098,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6428/6428098_sd.jpg;maxHeight=200;maxWidth=300,V0510WW,6428098,84.99
Motorola One 5G Ace 2021 (Unlocked) 128GB Memory - Frosted Silver,https://www.bestbuy.com/site/motorola-one-5g-ace-2021-unlocked-128gb-memory-frosted-silver/6441181.p?skuId=6441181,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6441/6441181_rd.jpg;maxHeight=200;maxWidth=300,PALK0003US,6441181,209.99
Google - Pixel 6 128GB (Unlocked) - Stormy Black,https://www.bestbuy.com/site/google-pixel-6-128gb-unlocked-stormy-black/6483635.p?skuId=6483635,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6483/6483635_sd.jpg;maxHeight=200;maxWidth=300,GA02900-US,6483635,399.00
Samsung - Galaxy A53 5G 128GB (Unlocked) - Awesome Black,https://www.bestbuy.com/site/samsung-galaxy-a53-5g-128gb-unlocked-awesome-black/6501376.p?skuId=6501376,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6501/6501376_sd.jpg;maxHeight=200;maxWidth=300,SM-A536UZKDXAA,6501376,349.99
Motorola - Moto G Stylus 128GB (2022 Unlocked) - Twilight Blue,https://www.bestbuy.com/site/motorola-moto-g-stylus-128gb-2022-unlocked-twilight-blue/6492854.p?skuId=6492854,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6492/6492854_sd.jpg;maxHeight=200;maxWidth=300,PAT40000US,6492854,199.99
Motorola - Moto G Power 2021 (Unlocked) 64GB Memory - Flash Gray,https://www.bestbuy.com/site/motorola-moto-g-power-2021-unlocked-64gb-memory-flash-gray/6441178.p?skuId=6441178,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6441/6441178_rd.jpg;maxHeight=200;maxWidth=300,PALF0005US,6441178,149.99
Samsung - Galaxy A13 32GB (Unlocked) - Black,https://www.bestbuy.com/site/samsung-galaxy-a13-32gb-unlocked-black/6501378.p?skuId=6501378,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6501/6501378_sd.jpg;maxHeight=200;maxWidth=300,SM-A135UZKDXAA,6501378,189.99
Google - Pixel 6a 128GB (Unlocked) - Charcoal,https://www.bestbuy.com/site/google-pixel-6a-128gb-unlocked-charcoal/6509962.p?skuId=6509962,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6509/6509962_sd.jpg;maxHeight=200;maxWidth=300,GA02998-US,6509962,349.00
Apple - Pre-Owned iPhone 8 Plus 64GB (Unlocked) - Space Gray,https://www.bestbuy.com/site/apple-pre-owned-iphone-8-plus-64gb-unlocked-space-gray/6492541.p?skuId=6492541,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6492/6492541_sd.jpg;maxHeight=200;maxWidth=300,8P-64GB-GRY,6492541,249.99
OnePlus - Nord N200 5G 64GB (Unlocked) - Blue Quantum,https://www.bestbuy.com/site/oneplus-nord-n200-5g-64gb-unlocked-blue-quantum/6468089.p?skuId=6468089,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6468/6468089_rd.jpg;maxHeight=200;maxWidth=300,DE2117,6468089,199.99
OnePlus - Nord N20 5G - Blue Smoke (Unlocked),https://www.bestbuy.com/site/oneplus-nord-n20-5g-blue-smoke-unlocked/6508046.p?skuId=6508046,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6508/6508046_sd.jpg;maxHeight=200;maxWidth=300,CPH2459,6508046,249.99
Motorola - Moto G Stylus 5G 256GB (Unlocked) - Cosmic Emerald,https://www.bestbuy.com/site/motorola-moto-g-stylus-5g-256gb-unlocked-cosmic-emerald/6463049.p?skuId=6463049,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6463/6463049_sd.jpg;maxHeight=200;maxWidth=300,PAN00004US,6463049,249.99
